year,month,day,max,min
2017,10,02,17,3.1
2017,10,03,15.6,4.9
2017,10,04,16.1,10.1
2017,10,05,19.6,10.5
2017,10,06,14.9,10.5
2017,10,07,14.8,8.3
2017,10,08,14.8,6.8
2017,10,09,13.6,9.1
2017,10,10,16,8.2
2017,10,11,17.8,10.6
2017,10,12,20.3,8.2
2017,10,13,17.6,11
2014,09,01,28,16
2014,09,02,25,16
2014,09,03,28,17
2014,09,04,29,17
2014,09,05,28,16
2014,09,06,28,17
2014,09,07,29,17
2014,09,08,29,17
2014,09,09,29,18
2014,09,10,22,15
2014,09,11,22,15
2014,09,12,20,14
2014,09,13,24,16
2014,09,14,21,15
2014,09,15,20,13
2014,09,16,24,13
2014,09,17,26,14
2014,09,18,25,13
2014,09,19,21,13
2014,09,20,27,16
2014,09,21,26,16
2014,09,22,18,8
2014,09,23,17,8
2014,09,24,18,8
2014,09,25,19,9
2014,09,26,20,10
2014,09,27,20,11
2014,09,28,25,13
2014,09,29,24,12
2014,09,30,24,12
2011,12,01,4,-4
2011,12,02,2,-5
2011,12,03,3,-3
2011,12,04,8,2
2011,12,05,10,5
2011,12,06,6,1
2011,12,07,5,-1
2011,12,08,6,0
2011,12,09,7,1
2011,12,10,8,3
2011,12,11,6,1
2011,12,12,6,2
2011,12,13,8,2
2011,12,14,6,1
2011,12,15,7,3
2011,12,16,7,0
2011,12,17,5,1
2011,12,18,4,-1
2011,12,19,3,0
2011,12,20,3,-2
2011,12,21,1,-2
2011,12,22,1,-3
2011,12,23,2,-2
2011,12,24,2,-2
2011,12,25,3,-1
2011,12,26,4,-1
2011,12,27,4,0
2011,12,28,3,-1
2011,12,29,2,-2
2011,12,30,3,-1
2011,12,31,3,-2
2016,09,01,32,17
2016,09,02,30,16
2016,09,03,31,17
2016,09,04,32,18
2016,09,05,22,13
2016,09,06,25,16
2016,09,07,30,19
2016,09,08,31,19
2016,09,09,32,20
2016,09,10,33,19
2016,09,11,33,20
2016,09,12,32,20
2016,09,13,32,18
2016,09,14,31,17
2016,09,15,31,17
2016,09,16,31,19
2016,09,17,27,14
2016,09,18,26,16
2016,09,19,26,13
2016,09,20,23,14
2016,09,21,20,10
2016,09,22,20,9
2016,09,23,21,11
2016,09,24,24,13
2016,09,25,23,11
2016,09,26,23,12
2016,09,27,24,14
2016,09,28,25,14
2016,09,29,26,14
2016,09,30,26,13
2016,10,01,25,14
2016,10,02,25,13
2016,10,03,20,11
2016,10,04,15,6
2016,10,05,12,7
2016,10,06,11,4
2016,10,07,14,5
2016,10,08,14,5
2016,10,09,15,6
2016,10,10,16,8
2016,10,11,15,5
2016,10,12,14,11
2016,10,13,17,9
2016,10,14,17,10
2016,10,15,17,10
2016,10,16,19,9
2016,10,17,14,8
2016,10,18,12,6
2016,10,19,13,5
2016,10,20,12,9
2016,10,21,11,8
2016,10,22,14,6
2016,10,23,14,4
2016,10,24,17,12
2016,10,25,19,11
2016,10,26,14,9
2016,10,27,12,7
2016,10,28,13,6
2016,10,29,15,6
2016,10,30,12,4
2016,10,31,10,3
2011,11,01,14,2
2011,11,02,15,3
2011,11,03,14,3
2011,11,04,14,3
2011,11,05,14,4
2011,11,06,16,4
2011,11,07,15,4
2011,11,08,14,2
2011,11,09,16,2
2011,11,10,12,-2
2011,11,11,8,-3
2011,11,12,9,-3
2011,11,13,9,-4
2011,11,14,8,-3
2011,11,15,8,-3
2011,11,16,8,-4
2011,11,17,7,-5
2011,11,21,4,-4
2011,11,22,4,-5
2011,11,23,6,-2
2011,11,24,5,-5
2011,11,25,6,-5
2011,11,26,4,-3
2011,11,27,6,-2
2011,11,28,7,-1
2011,11,29,5,-1
2011,11,30,4,-2
2014,11,01,14,5
2014,11,02,13,5
2014,11,03,12,5
2014,11,04,15,7
2014,11,05,16,8
2014,11,06,16,10
2014,11,07,17,11
2014,11,08,18,10
2014,11,09,17,9
2014,11,10,17,10
2014,11,11,16,8
2014,11,12,13,9
2014,11,13,15,8
2014,11,14,15,7
2014,11,15,13,6
2014,11,16,10,7
2014,11,17,10,7
2014,11,18,10,6
2014,11,19,10,4
2014,11,20,9,3
2014,11,21,9,2
2014,11,22,8,1
2014,11,23,8,1
2014,11,24,6,2
2014,11,25,6,1
2014,11,26,5,-1
2014,11,27,4,-5
2014,11,28,2,1
2014,11,29,2,1
2014,11,30,3,0
2013,09,01,26,11
2013,09,02,23,15
2013,09,03,24,11
2013,09,04,27,11
2013,09,05,28,12
2013,09,06,28,12
2013,09,07,31,14
2013,09,08,29,14
2013,09,09,20,11
2013,09,10,26,14
2013,09,11,21,13
2013,09,12,22,10
2013,09,13,19,10
2013,09,14,15,11
2013,09,15,25,13
2013,09,16,25,15
2013,09,17,14,6
2013,09,18,17,11
2013,09,19,18,8
2013,09,20,19,10
2013,09,21,20,8
2013,09,23,21,12
2013,09,24,21,12
2013,09,25,24,13
2013,09,26,26,9
2013,09,27,19,7
2013,09,28,20,8
2013,09,29,17,9
2013,09,30,14,9
2011,10,01,25,11
2011,10,02,27,10
2011,10,03,25,9
2011,10,04,26,11
2011,10,05,26,11
2011,10,06,26,11
2011,10,07,15,6
2011,10,08,14,5
2011,10,09,15,3
2011,10,10,16,8
2011,10,11,22,12
2011,10,12,19,5
2011,10,13,16,3
2011,10,14,13,1
2011,10,15,14,-1
2011,10,16,12,-2
2011,10,17,12,-1
2011,10,18,13,1
2011,10,19,18,7
2011,10,20,11,3
2011,10,21,13,1
2011,10,22,13,6
2011,10,23,12,8
2011,10,24,12,6
2011,10,25,15,6
2011,10,26,16,3
2011,10,27,15,2
2011,10,28,14,2
2011,10,29,16,1
2011,10,30,14,2
2011,10,31,15,3
2012,09,01,29,17
2012,09,02,30,18
2012,09,03,33,18
2012,09,04,31,18
2012,09,05,31,18
2012,09,06,27,12
2012,09,07,24,14
2012,09,08,27,16
2012,09,09,29,16
2012,09,10,29,15
2012,09,11,29,16
2012,09,12,28,13
2012,09,13,21,14
2012,09,14,22,14
2012,09,15,22,13
2012,09,16,23,11
2012,09,17,25,13
2012,09,18,26,15
2012,09,19,26,10
2012,09,20,16,9
2012,09,21,20,9
2012,09,22,20,12
2012,09,23,22,13
2012,09,24,25,14
2012,09,25,25,14
2012,09,26,26,17
2012,09,27,28,16
2012,09,28,22,14
2012,09,29,25,17
2012,09,30,24,15
2017,09,01,31,15.8
2017,09,02,22.2,16
2017,09,03,20.2,15.1
2017,09,04,18.9,12.1
2017,09,05,21.6,9.6
2017,09,06,22.2,10.4
2017,09,07,19.5,12.6
2017,09,08,21.4,8.7
2017,09,09,24.5,11.3
2017,09,10,26,13.8
2017,09,11,26.1,18.6
2017,09,12,20.1,14.3
2017,09,13,22,12.6
2017,09,14,22.7,12.6
2017,09,15,17.3,12.2
2017,09,16,19.1,13
2017,09,17,16.6,9.4
2017,09,18,17.3,10.3
2017,09,19,14.8,11.3
2017,09,20,16.3,12.5
2017,09,21,13.8,12.2
2017,09,22,17,10.5
2017,09,23,13,10.4
2017,09,24,16.7,9.2
2017,09,25,16.9,10.9
2017,09,26,20.9,7.8
2017,09,27,16.7,12.1
2017,09,28,16.6,8
2017,09,29,16.8,5.5
2017,09,30,16.9,4.3
2014,10,01,23,15
2014,10,02,23,12
2014,10,03,20,12
2014,10,04,20,12
2014,10,05,20,10
2014,10,06,19,10
2014,10,07,19,10
2014,10,08,17,11
2014,10,09,22,12
2014,10,10,25,14
2014,10,11,25,14
2014,10,12,26,15
2014,10,13,25,16
2014,10,14,25,13
2014,10,15,18,13
2014,10,16,22,14
2014,10,17,19,10
2014,10,18,21,13
2014,10,19,19,10
2014,10,20,22,14
2014,10,21,18,12
2014,10,22,9,5
2014,10,23,12,7
2014,10,24,10,6
2014,10,25,14,5
2014,10,26,13,4
2014,10,27,15,5
2014,10,28,16,3
2014,10,29,12,3
